carat,depth,x,y,z,color_E,color_F,color_G,color_H,color_I,color_J
0.3,61.7,4.28,4.31,2.65,0,1,0,0,0,0
0.9,65.5,6.05,6.01,3.95,0,0,0,1,0,0
0.34,59.0,4.55,4.61,2.7,0,0,0,1,0,0
0.3,63.0,4.24,4.27,2.68,0,0,0,1,0,0
0.71,62.6,5.65,5.75,3.57,0,0,0,1,0,0
0.8,63.5,5.86,5.89,3.73,0,1,0,0,0,0
0.31,61.2,4.36,4.4,2.68,0,0,0,1,0,0
0.41,61.3,4.8,4.76,2.93,1,0,0,0,0,0
0.71,61.1,5.78,5.84,3.55,0,1,0,0,0,0
0.71,62.2,5.72,5.66,3.54,0,1,0,0,0,0
1.24,62.0,6.9,6.87,4.27,0,0,0,0,1,0
0.9,61.9,6.14,6.18,3.81,0,0,0,1,0,0
0.72,61.7,5.75,5.78,3.56,0,0,1,0,0,0
1.51,63.9,7.2,7.17,4.59,0,0,0,0,1,0
0.57,62.4,5.32,5.29,3.31,0,0,1,0,0,0
1.1,62.2,6.58,6.54,4.08,0,0,0,0,0,0
0.26,61.4,4.1,4.17,2.54,0,0,0,0,0,0
0.7,61.8,5.66,5.6,3.48,0,0,1,0,0,0
0.32,62.6,4.34,4.38,2.73,0,0,1,0,0,0
1.52,62.1,7.26,7.34,4.53,0,1,0,0,0,0
0.71,60.9,5.77,5.83,3.53,1,0,0,0,0,0
1.31,59.6,7.06,7.16,4.24,0,1,0,0,0,0
1.04,61.9,6.55,6.51,4.04,0,1,0,0,0,0
0.3,62.3,4.3,4.33,2.69,0,0,0,0,0,0
0.33,61.8,4.4,4.44,2.73,0,0,0,0,0,0
1.09,62.5,6.56,6.53,4.09,0,0,1,0,0,0
1.01,62.7,6.46,6.36,4.02,0,0,1,0,0,0
1.0,62.7,6.33,6.31,3.96,0,0,0,1,0,0
0.3,62.5,4.26,4.29,2.67,0,1,0,0,0,0
2.18,61.9,8.24,8.29,5.12,0,0,1,0,0,0
1.35,61.3,7.09,7.13,4.36,0,0,0,0,0,0
0.71,61.4,5.71,5.75,3.52,0,0,0,1,0,0
1.2,61.9,6.77,6.73,4.18,0,0,0,1,0,0
0.4,62.2,4.7,4.75,2.94,0,0,0,1,0,0
0.7,64.1,5.58,5.52,3.56,0,1,0,0,0,0
1.63,62.4,7.59,7.52,4.71,0,0,0,1,0,0
0.44,61.9,4.87,4.83,3.0,0,0,1,0,0,0
0.9,63.8,6.12,6.05,3.88,1,0,0,0,0,0
0.3,61.2,4.31,4.29,2.63,0,0,0,1,0,0
0.42,60.8,4.85,4.79,2.93,0,0,0,0,0,0
0.34,61.2,4.5,4.46,2.74,0,0,0,1,0,0
0.72,61.2,5.78,5.81,3.55,0,1,0,0,0,0
0.72,62.7,5.73,5.69,3.58,0,0,0,0,0,0
0.54,63.2,5.15,5.2,3.27,1,0,0,0,0,0
0.5,60.1,5.21,5.17,3.12,1,0,0,0,0,0
1.0,62.8,6.34,6.3,3.97,1,0,0,0,0,0
1.0,61.4,6.37,6.43,3.93,0,0,0,0,0,0
0.42,62.0,4.81,4.87,3.0,0,0,0,0,0,1
0.53,61.6,5.2,5.25,3.22,0,0,1,0,0,0
0.53,56.2,5.43,5.41,3.05,1,0,0,0,0,0
0.56,60.4,5.35,5.32,3.22,0,1,0,0,0,0
1.22,66.2,6.61,6.56,4.36,0,0,0,0,1,0
0.27,62.0,4.19,4.16,2.59,1,0,0,0,0,0
0.41,61.7,4.79,4.81,2.96,0,0,1,0,0,0
0.7,62.6,5.66,5.69,3.55,0,0,1,0,0,0
0.8,62.8,5.91,5.87,3.7,0,0,0,1,0,0
1.1,62.0,6.57,6.62,4.09,0,0,0,0,0,0
0.59,61.8,5.33,5.39,3.31,1,0,0,0,0,0
0.35,60.3,4.57,4.59,2.76,0,0,1,0,0,0
0.3,63.4,4.21,4.24,2.68,0,0,0,1,0,0
0.3,59.1,4.35,4.38,2.58,0,0,0,0,1,0
0.91,64.1,6.01,6.06,3.87,0,0,0,0,0,0
2.04,63.6,7.97,7.86,5.03,0,0,0,0,1,0
0.3,61.7,4.32,4.34,2.67,0,1,0,0,0,0
0.56,60.7,5.27,5.34,3.22,0,0,1,0,0,0
0.32,62.3,4.36,4.37,2.72,0,0,0,0,0,1
0.63,60.5,5.58,5.53,3.36,1,0,0,0,0,0
0.31,61.3,4.35,4.39,2.68,0,1,0,0,0,0
0.25,62.1,4.02,4.06,2.5,1,0,0,0,0,0
0.56,61.9,5.32,5.28,3.28,0,1,0,0,0,0
1.01,60.0,6.46,6.4,3.86,0,1,0,0,0,0
0.32,62.7,4.4,4.44,2.77,0,0,0,0,0,0
1.02,62.7,6.44,6.36,4.01,0,0,1,0,0,0
0.41,61.6,4.75,4.79,2.94,1,0,0,0,0,0
1.07,61.5,6.6,6.66,4.08,0,0,0,1,0,0
1.0,62.1,6.36,6.39,3.96,0,1,0,0,0,0
2.01,59.1,8.31,8.21,4.88,0,0,0,0,0,0
2.26,61.1,8.45,8.4,5.15,0,0,0,1,0,0
0.34,61.9,4.49,4.46,2.77,0,0,1,0,0,0
0.9,62.3,6.18,6.09,3.82,0,0,0,1,0,0
0.92,63.7,6.11,6.14,3.9,1,0,0,0,0,0
0.9,66.9,6.02,5.9,3.99,0,0,0,0,0,0
0.39,61.4,4.75,4.7,2.9,0,0,1,0,0,0
0.35,61.1,4.55,4.59,2.79,0,0,0,0,0,0
0.58,62.4,5.3,5.34,3.32,0,0,0,1,0,0
1.0,64.3,6.29,6.34,4.06,0,0,0,0,0,0
0.6,61.5,5.38,5.41,3.32,0,1,0,0,0,0
0.45,62.0,4.94,4.97,3.07,0,0,0,0,1,0
0.32,61.6,4.39,4.41,2.71,1,0,0,0,0,0
2.0,62.2,7.97,8.08,4.99,0,0,0,1,0,0
0.9,61.8,6.13,6.16,3.8,0,0,0,0,0,0
0.92,62.4,6.18,6.22,3.87,0,0,1,0,0,0
1.02,63.1,6.38,6.44,4.04,0,0,0,1,0,0
1.54,62.2,7.32,7.37,4.57,0,0,0,0,1,0
1.53,62.7,7.39,7.31,4.61,0,0,0,1,0,0
0.31,62.2,4.38,4.34,2.71,0,0,1,0,0,0
0.28,62.4,4.2,4.23,2.63,0,0,0,1,0,0
0.75,61.3,5.88,5.83,3.59,0,0,0,0,0,0
0.72,60.9,5.83,5.86,3.56,1,0,0,0,0,0
1.29,59.4,7.06,6.99,4.17,0,0,0,0,0,0
1.02,62.4,6.45,6.4,4.01,0,1,0,0,0,0
1.0,60.6,6.5,6.54,3.95,0,0,0,0,0,0
1.02,62.5,6.41,6.39,4.0,0,0,0,1,0,0
0.31,62.2,4.35,4.3,2.69,0,0,1,0,0,0
0.4,62.4,4.74,4.71,2.95,1,0,0,0,0,0
0.4,63.0,4.72,4.74,2.98,1,0,0,0,0,0
0.71,61.1,5.8,5.72,3.52,0,1,0,0,0,0
1.03,61.2,6.48,6.52,3.98,0,0,1,0,0,0
1.2,60.0,6.89,6.84,4.12,0,0,0,0,0,1
1.06,59.5,6.62,6.59,3.93,0,1,0,0,0,0
0.46,60.2,4.98,5.04,3.02,0,0,1,0,0,0
2.15,62.8,8.22,8.17,5.15,0,0,0,1,0,0
1.52,60.9,7.41,7.38,4.5,0,0,1,0,0,0
0.33,59.7,4.48,4.53,2.69,1,0,0,0,0,0
1.11,62.5,6.59,6.63,4.13,0,1,0,0,0,0
0.91,60.4,6.21,6.28,3.77,0,0,1,0,0,0
0.71,64.0,5.66,5.68,3.63,1,0,0,0,0,0
1.21,64.0,6.73,6.67,4.29,1,0,0,0,0,0
0.56,61.6,5.29,5.32,3.27,0,0,1,0,0,0
1.07,61.0,6.59,6.62,4.03,0,1,0,0,0,0
0.7,61.3,5.75,5.73,3.52,0,0,0,0,0,1
1.17,60.4,6.81,6.77,4.1,0,0,0,0,0,0
1.07,62.1,6.54,6.61,4.08,0,0,1,0,0,0
0.51,62.0,5.09,5.04,3.14,1,0,0,0,0,0
1.0,63.3,6.29,6.25,3.97,1,0,0,0,0,0
0.78,61.1,5.89,5.96,3.62,0,0,1,0,0,0
1.04,60.8,6.55,6.57,3.99,0,0,1,0,0,0
0.7,62.2,5.72,5.67,3.54,1,0,0,0,0,0
1.66,58.5,7.73,7.79,4.54,0,0,1,0,0,0
0.3,63.3,4.31,4.28,2.72,0,0,1,0,0,0
0.9,60.9,6.2,6.24,3.79,0,0,0,0,1,0
0.61,63.1,5.4,5.44,3.42,1,0,0,0,0,0
0.38,62.3,4.65,4.69,2.91,0,1,0,0,0,0
0.41,59.1,4.84,4.87,2.87,0,0,1,0,0,0
0.27,58.6,4.3,4.33,2.53,1,0,0,0,0,0
0.71,63.0,5.6,5.67,3.55,0,0,0,0,1,0
0.31,60.5,4.39,4.43,2.67,0,0,1,0,0,0
2.31,58.8,8.7,8.64,5.1,0,0,0,0,1,0
0.32,62.6,4.41,4.38,2.75,0,1,0,0,0,0
0.3,62.3,4.28,4.32,2.68,0,0,0,1,0,0
0.81,62.3,5.95,5.96,3.71,0,0,0,1,0,0
2.02,59.8,8.2,8.16,4.89,1,0,0,0,0,0
0.59,59.1,5.46,5.5,3.24,0,1,0,0,0,0
0.53,62.4,5.2,5.16,3.23,0,0,1,0,0,0
0.7,61.8,5.63,5.73,3.51,0,0,0,0,0,0
0.5,61.3,5.12,5.16,3.15,0,0,0,1,0,0
0.9,62.9,6.02,6.06,3.8,0,0,1,0,0,0
0.9,62.6,6.15,6.18,3.86,0,0,0,0,0,1
0.36,61.0,4.6,4.62,2.81,0,1,0,0,0,0
0.3,62.0,4.27,4.29,2.65,0,0,1,0,0,0
1.51,62.3,7.29,7.22,4.52,0,1,0,0,0,0
0.4,62.3,4.73,4.68,2.93,0,0,1,0,0,0
0.53,61.6,5.18,5.21,3.2,0,0,0,0,1,0
0.41,62.8,4.71,4.75,2.97,1,0,0,0,0,0
1.0,60.2,6.53,6.45,3.91,0,1,0,0,0,0
0.91,62.1,6.17,6.2,3.84,0,0,0,1,0,0
0.32,61.7,4.4,4.41,2.72,0,1,0,0,0,0
0.82,63.8,5.89,5.84,3.74,0,0,1,0,0,0
0.72,62.0,5.74,5.77,3.57,1,0,0,0,0,0
0.76,62.4,5.83,5.86,3.65,1,0,0,0,0,0
0.76,59.8,5.92,5.96,3.55,0,0,0,0,1,0
0.41,61.9,4.76,4.7,2.93,0,0,1,0,0,0
0.43,60.5,4.84,4.88,2.94,0,1,0,0,0,0
0.32,62.0,4.4,4.37,2.72,0,0,1,0,0,0
2.22,62.6,8.35,8.29,5.21,0,0,1,0,0,0
1.01,62.7,6.35,6.4,4.0,0,0,0,1,0,0
1.01,63.6,6.36,6.31,4.03,0,1,0,0,0,0
0.44,62.3,4.88,4.85,3.03,1,0,0,0,0,0
2.01,60.3,8.22,8.16,4.94,0,0,0,0,1,0
0.9,62.1,6.17,6.2,3.84,0,0,0,1,0,0
1.08,62.9,6.44,6.53,4.08,1,0,0,0,0,0
1.01,63.5,6.28,6.35,4.01,1,0,0,0,0,0
1.12,60.9,6.66,6.6,4.04,1,0,0,0,0,0
1.54,61.5,7.44,7.41,4.57,0,0,1,0,0,0
0.53,63.8,5.16,5.13,3.28,0,1,0,0,0,0
0.73,62.2,5.76,5.82,3.6,0,0,0,1,0,0
1.16,60.8,6.78,6.75,4.11,0,1,0,0,0,0
1.51,60.7,7.43,7.36,4.49,0,0,0,0,0,1
0.63,61.0,5.6,5.49,3.38,0,1,0,0,0,0
1.16,63.7,6.63,6.55,4.2,0,1,0,0,0,0
0.31,61.2,4.38,4.41,2.69,0,1,0,0,0,0
0.43,62.1,4.83,4.87,3.01,0,0,1,0,0,0
1.52,60.3,7.43,7.52,4.51,1,0,0,0,0,0
0.44,60.9,4.88,4.94,2.99,0,0,1,0,0,0
1.51,62.9,7.27,7.23,4.56,0,0,0,0,1,0
1.64,62.1,7.57,7.59,4.71,0,0,0,0,1,0
0.54,61.3,5.3,5.27,3.24,0,0,0,0,0,0
0.43,60.3,4.87,4.91,2.95,0,0,1,0,0,0
2.01,59.3,8.2,8.15,4.85,0,0,0,0,0,1
0.34,59.1,4.66,4.61,2.74,0,1,0,0,0,0
1.52,62.8,7.32,7.3,4.59,0,0,0,1,0,0
0.7,62.5,5.65,5.67,3.54,0,1,0,0,0,0
0.74,62.4,5.73,5.8,3.6,0,0,0,0,0,0
1.01,61.2,6.52,6.49,3.98,1,0,0,0,0,0
1.11,61.7,6.65,6.67,4.11,0,1,0,0,0,0
1.25,63.3,6.87,6.82,4.33,0,0,0,1,0,0
1.34,60.7,7.04,7.07,4.28,0,0,1,0,0,0
0.55,61.2,5.3,5.28,3.24,1,0,0,0,0,0
0.3,61.8,4.3,4.34,2.67,1,0,0,0,0,0
0.35,62.0,4.47,4.5,2.78,0,0,0,1,0,0
2.02,59.4,8.25,8.21,4.89,0,0,0,0,1,0
0.91,64.5,6.04,5.96,3.87,1,0,0,0,0,0
0.41,62.9,4.73,4.75,2.98,0,0,0,0,0,0
0.3,60.2,4.32,4.35,2.61,0,0,0,0,0,0
2.02,62.5,8.05,8.01,5.02,0,0,0,0,1,0
0.71,62.8,5.65,5.72,3.57,0,0,0,1,0,0
0.24,62.1,3.95,4.0,2.47,1,0,0,0,0,0
0.9,60.8,6.22,6.25,3.79,0,0,0,0,1,0
0.31,63.6,4.26,4.29,2.72,0,0,1,0,0,0
1.5,59.7,7.39,7.44,4.43,0,1,0,0,0,0
0.5,61.4,5.11,5.09,3.13,1,0,0,0,0,0
1.08,58.9,6.69,6.75,3.96,0,0,1,0,0,0
0.3,62.3,4.32,4.29,2.68,0,0,1,0,0,0
0.3,61.0,4.31,4.34,2.64,0,0,1,0,0,0
2.01,60.7,8.15,8.1,4.93,0,0,0,0,0,1
0.92,61.7,6.24,6.27,3.86,1,0,0,0,0,0
1.16,62.5,6.73,6.67,4.19,0,0,0,0,0,1
0.5,61.3,5.13,5.15,3.15,1,0,0,0,0,0
0.4,58.5,4.82,4.86,2.83,1,0,0,0,0,0
0.78,63.4,5.84,5.9,3.72,1,0,0,0,0,0
0.53,60.1,5.25,5.31,3.17,1,0,0,0,0,0
1.27,62.5,6.99,6.93,4.35,0,1,0,0,0,0
0.92,62.6,6.23,6.19,3.89,0,1,0,0,0,0
0.44,62.8,4.82,4.86,3.04,0,1,0,0,0,0
1.33,62.5,7.02,7.05,4.4,0,0,0,0,1,0
0.31,61.5,4.33,4.35,2.67,0,1,0,0,0,0
0.6,61.0,5.43,5.46,3.32,0,1,0,0,0,0
0.43,61.5,4.8,4.86,2.97,0,0,0,1,0,0
1.21,61.1,6.87,6.92,4.21,0,0,0,1,0,0
2.0,62.4,8.01,8.08,5.02,0,0,0,0,0,1
0.3,61.4,4.32,4.34,2.66,1,0,0,0,0,0
0.52,62.6,5.15,5.11,3.21,1,0,0,0,0,0
0.31,61.5,4.38,4.34,2.68,0,0,0,1,0,0
1.31,59.6,7.09,7.17,4.25,0,0,0,0,1,0
1.01,62.8,6.3,6.35,3.97,0,0,0,0,0,1
0.9,61.4,6.21,6.24,3.82,0,1,0,0,0,0
0.51,62.5,5.1,5.07,3.18,0,0,0,0,1,0
1.05,59.8,6.65,6.62,3.97,1,0,0,0,0,0
1.0,62.3,6.34,6.41,3.97,0,1,0,0,0,0
0.91,62.1,6.26,6.21,3.87,0,1,0,0,0,0
0.51,62.4,5.04,5.09,3.16,0,1,0,0,0,0
1.5,60.7,7.33,7.36,4.46,0,0,1,0,0,0
1.16,61.2,6.76,6.81,4.15,0,0,0,1,0,0
0.43,61.7,4.84,4.88,2.99,0,0,1,0,0,0
2.01,61.4,8.19,7.96,4.96,0,0,0,0,1,0
0.41,62.3,4.77,4.76,2.97,0,0,0,0,0,0
0.32,61.9,4.4,4.43,2.73,1,0,0,0,0,0
1.02,60.8,6.46,6.5,3.94,0,0,1,0,0,0
0.93,62.9,6.2,6.23,3.91,0,0,1,0,0,0
0.26,62.1,4.11,4.13,2.56,1,0,0,0,0,0
0.33,60.7,4.5,4.46,2.72,0,0,0,1,0,0
0.57,62.0,5.31,5.34,3.3,0,1,0,0,0,0
0.4,62.3,4.77,4.74,2.96,0,0,0,1,0,0
1.51,62.7,7.31,7.26,4.57,1,0,0,0,0,0
1.23,61.3,6.9,6.94,4.24,0,0,0,1,0,0
0.3,61.7,4.32,4.34,2.67,0,0,1,0,0,0
0.92,62.2,6.21,6.27,3.88,0,0,0,1,0,0
0.42,60.8,4.82,4.85,2.94,0,0,1,0,0,0
1.28,61.7,6.95,6.99,4.3,0,0,1,0,0,0
0.7,60.4,5.71,5.74,3.46,0,0,0,0,0,1
1.01,59.7,6.55,6.49,3.89,0,1,0,0,0,0
0.75,61.4,5.88,5.85,3.6,0,1,0,0,0,0
1.03,62.0,6.43,6.51,4.01,0,1,0,0,0,0
0.47,65.2,4.86,4.89,3.18,1,0,0,0,0,0
0.89,68.2,5.82,5.74,3.94,0,0,0,0,1,0
1.58,62.4,7.5,7.4,4.65,0,0,1,0,0,0
0.5,61.9,5.02,5.06,3.12,0,1,0,0,0,0
1.25,61.1,6.94,6.97,4.25,0,0,0,1,0,0
0.51,62.5,5.08,5.12,3.19,0,0,1,0,0,0
0.9,62.6,6.16,6.2,3.87,0,1,0,0,0,0
1.12,62.2,6.65,6.67,4.14,0,0,0,0,0,0
1.16,62.6,6.68,6.73,4.2,0,0,0,0,1,0
0.33,61.8,4.47,4.52,2.78,1,0,0,0,0,0
1.15,62.6,6.75,6.69,4.21,0,0,0,1,0,0
0.4,61.0,4.71,4.74,2.88,0,1,0,0,0,0
0.9,63.2,6.06,6.15,3.86,1,0,0,0,0,0
1.0,67.1,6.06,6.1,4.08,0,1,0,0,0,0
0.77,61.7,5.91,5.96,3.66,0,1,0,0,0,0
0.9,60.5,6.23,6.2,3.76,0,1,0,0,0,0
1.01,59.5,6.54,6.6,3.91,0,0,0,0,0,1
1.02,60.9,6.54,6.49,3.97,0,1,0,0,0,0
0.4,62.7,4.73,4.71,2.96,0,0,0,1,0,0
0.43,61.6,4.87,4.9,3.01,0,1,0,0,0,0
0.36,60.9,4.63,4.57,2.8,0,0,1,0,0,0
0.7,59.3,5.74,5.8,3.42,0,0,1,0,0,0
0.71,61.8,5.73,5.75,3.55,0,0,0,1,0,0
1.52,60.2,7.49,7.46,4.5,0,0,0,0,0,0
0.66,60.9,5.63,5.7,3.45,0,0,0,1,0,0
0.31,61.2,4.3,4.33,2.64,0,0,1,0,0,0
1.01,64.1,6.16,6.23,3.97,0,1,0,0,0,0
1.0,69.5,6.17,6.1,4.26,0,0,0,1,0,0
1.51,59.5,7.41,7.45,4.42,0,0,1,0,0,0
0.24,61.5,4.02,4.05,2.48,1,0,0,0,0,0
0.3,61.6,4.3,4.34,2.66,0,0,0,1,0,0
1.7,58.5,7.87,7.8,4.58,0,1,0,0,0,0
0.51,63.2,5.04,5.08,3.2,0,0,0,0,0,0
0.3,63.8,4.21,4.22,2.69,1,0,0,0,0,0
0.4,62.9,4.68,4.73,2.96,0,0,0,0,1,0
0.77,61.5,5.9,5.93,3.64,0,0,0,0,1,0
1.01,62.8,6.34,6.37,3.99,0,0,0,0,0,1
0.81,61.0,6.01,5.99,3.66,0,1,0,0,0,0
0.54,60.0,5.26,5.3,3.17,0,0,0,0,0,0
1.7,61.9,7.61,7.57,4.7,0,0,1,0,0,0
0.36,60.3,4.58,4.64,2.78,0,0,0,0,1,0
1.08,61.2,6.61,6.63,4.05,0,0,0,0,0,0
1.1,62.0,6.62,6.6,4.1,0,1,0,0,0,0
0.81,62.9,5.89,5.96,3.73,0,0,1,0,0,0
0.3,63.5,4.27,4.2,2.69,0,0,0,1,0,0
0.57,61.4,5.37,5.32,3.28,1,0,0,0,0,0
1.51,61.1,7.4,7.37,4.51,0,0,0,0,1,0
1.01,62.9,6.39,6.33,4.0,0,0,1,0,0,0
1.39,62.1,7.1,7.16,4.43,0,1,0,0,0,0
0.44,62.9,4.82,4.85,3.04,0,0,0,0,0,0
0.71,60.7,5.78,5.81,3.52,0,1,0,0,0,0
1.01,62.0,6.38,6.42,3.97,0,1,0,0,0,0
1.19,58.4,6.98,6.92,4.06,0,0,0,0,0,1
0.73,60.9,5.86,5.69,3.51,0,0,0,1,0,0
1.01,63.9,6.25,6.31,4.01,0,0,0,0,0,0
0.23,61.8,3.91,3.95,2.43,1,0,0,0,0,0
0.43,60.3,4.88,4.91,2.95,0,1,0,0,0,0
0.26,61.6,4.1,4.08,2.52,0,1,0,0,0,0
1.51,63.0,7.25,7.3,4.58,0,0,0,1,0,0
1.5,61.8,7.3,7.35,4.53,0,0,0,1,0,0
0.71,63.6,5.58,5.67,3.58,0,1,0,0,0,0
0.33,61.3,4.48,4.49,2.75,0,1,0,0,0,0
0.53,61.7,5.17,5.21,3.2,0,0,0,1,0,0
0.27,63.0,4.06,4.1,2.57,0,0,0,0,0,0
1.2,61.5,6.79,6.84,4.19,0,0,0,0,1,0
0.3,61.8,4.3,4.34,2.67,0,1,0,0,0,0
0.3,63.1,4.28,4.24,2.69,0,0,1,0,0,0
0.46,61.6,4.92,4.97,3.05,0,0,0,0,0,0
0.5,60.7,5.12,5.16,3.12,0,1,0,0,0,0
1.0,61.1,6.37,6.43,3.91,0,0,0,0,0,0
1.6,61.0,7.55,7.59,4.62,0,0,1,0,0,0
1.0,61.4,6.35,6.41,3.92,0,0,0,0,0,0
0.71,62.0,5.71,5.76,3.56,0,0,0,0,0,0
1.59,61.1,7.54,7.48,4.59,0,0,0,0,1,0
0.76,61.2,5.85,5.9,3.59,0,0,1,0,0,0
1.24,64.9,6.7,6.63,4.32,0,1,0,0,0,0
0.58,60.8,5.41,5.42,3.29,1,0,0,0,0,0
1.02,60.8,6.48,6.45,3.93,0,0,0,1,0,0
1.02,63.4,6.37,6.43,4.06,0,0,0,1,0,0
0.39,62.3,4.67,4.7,2.92,0,1,0,0,0,0
1.01,62.0,6.44,6.37,3.97,0,0,0,0,0,0
0.9,62.5,6.17,6.21,3.87,0,0,1,0,0,0
0.7,60.9,5.73,5.66,3.47,0,0,0,0,0,1
0.5,61.6,5.09,5.13,3.15,1,0,0,0,0,0
0.31,62.7,4.35,4.32,2.72,1,0,0,0,0,0
1.5,60.5,7.39,7.35,4.46,0,0,1,0,0,0
0.36,61.7,4.63,4.57,2.84,1,0,0,0,0,0
0.6,62.2,5.44,5.4,3.37,0,0,0,0,0,0
1.52,60.6,7.44,7.38,4.49,1,0,0,0,0,0
1.1,62.4,6.57,6.6,4.11,0,0,0,0,0,0
0.62,59.8,5.56,5.51,3.31,0,1,0,0,0,0
1.0,62.8,6.37,6.34,3.99,1,0,0,0,0,0
0.89,60.8,6.22,6.25,3.79,0,0,0,0,0,0
0.38,60.8,4.71,4.66,2.85,0,0,1,0,0,0
0.4,61.4,4.81,4.77,2.94,1,0,0,0,0,0
1.36,61.9,7.16,7.13,4.42,0,0,0,0,0,1
0.33,62.1,4.45,4.47,2.77,0,0,1,0,0,0
0.58,62.0,5.32,5.4,3.31,0,1,0,0,0,0
1.3,61.8,6.95,7.0,4.31,0,0,0,0,1,0
0.32,61.1,4.41,4.39,2.69,0,0,0,0,0,0
0.23,62.3,3.9,3.92,2.43,0,0,1,0,0,0
1.02,62.2,6.44,6.48,4.02,0,0,1,0,0,0
0.76,63.3,5.79,5.83,3.68,0,0,0,0,1,0
1.13,62.2,6.69,6.67,4.15,0,0,0,0,1,0
0.51,61.9,5.11,5.17,3.17,0,0,1,0,0,0
1.52,60.1,7.45,7.39,4.46,0,0,0,1,0,0
0.91,62.6,6.18,6.13,3.85,0,1,0,0,0,0
1.12,58.4,6.87,6.84,4.0,0,0,1,0,0,0
0.96,61.6,6.24,6.29,3.86,0,0,0,1,0,0
0.5,61.5,5.09,5.12,3.14,0,1,0,0,0,0
0.3,61.8,4.31,4.33,2.67,0,1,0,0,0,0
1.11,59.8,6.75,6.66,4.01,0,0,0,1,0,0
0.41,63.1,4.66,4.63,2.93,1,0,0,0,0,0
0.33,59.6,4.54,4.49,2.69,1,0,0,0,0,0
1.19,62.0,6.77,6.82,4.21,0,0,0,0,0,0
0.91,64.0,6.06,6.13,3.9,0,1,0,0,0,0
0.38,61.0,4.68,4.7,2.86,0,1,0,0,0,0
0.32,61.6,4.4,4.46,2.73,1,0,0,0,0,0
0.87,61.0,6.15,6.19,3.77,0,0,0,1,0,0
0.33,61.6,4.44,4.47,2.74,0,0,0,1,0,0
0.4,63.2,4.65,4.69,2.95,0,0,0,0,0,0
0.51,63.0,5.11,5.05,3.2,0,0,0,0,0,0
0.4,60.4,4.79,4.82,2.9,0,1,0,0,0,0
1.07,60.2,6.7,6.59,4.0,0,0,1,0,0,0
0.25,61.1,4.04,4.08,2.48,0,1,0,0,0,0
0.72,61.7,5.67,5.77,3.53,0,0,0,0,0,1
1.01,61.3,6.39,6.43,3.93,0,1,0,0,0,0
0.35,62.2,4.51,4.53,2.81,1,0,0,0,0,0
0.55,61.1,5.3,5.28,3.23,1,0,0,0,0,0
1.04,61.6,6.49,6.54,4.01,0,1,0,0,0,0
0.72,60.9,5.79,5.77,3.52,0,0,0,1,0,0
0.34,59.4,4.59,4.54,2.71,0,1,0,0,0,0
0.7,58.2,5.84,5.78,3.38,0,0,1,0,0,0
0.45,65.8,4.82,4.7,3.13,0,0,0,1,0,0
1.5,61.3,7.34,7.41,4.52,0,0,0,0,1,0
0.5,62.8,5.05,5.08,3.18,0,0,0,0,0,1
1.03,62.1,6.5,6.46,4.03,0,1,0,0,0,0
0.92,65.3,6.08,6.04,3.96,0,1,0,0,0,0
1.23,62.6,6.93,6.88,4.32,0,0,0,0,0,0
