carat,table,x,y,z,cut_Fair,cut_Good,cut_Ideal,cut_Premium,cut_Very Good,color_D,color_E,color_F,color_G,color_H,color_I,color_J,clarity_I1,clarity_IF,clarity_SI1,clarity_SI2,clarity_VS1,clarity_VS2,clarity_VVS1,clarity_VVS2
0.71,57.0,5.71,5.75,3.52,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1.2,57.0,6.77,6.73,4.18,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0.4,55.0,4.7,4.75,2.94,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0.7,55.0,5.58,5.52,3.56,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1.63,57.0,7.59,7.52,4.71,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
0.44,58.0,4.87,4.83,3.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0.9,56.0,6.12,6.05,3.88,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0.3,60.0,4.31,4.29,2.63,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0.42,59.0,4.85,4.79,2.93,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.34,60.0,4.5,4.46,2.74,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0.72,56.0,5.78,5.81,3.55,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0.72,59.0,5.73,5.69,3.58,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.54,57.0,5.15,5.2,3.27,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0.5,58.0,5.21,5.17,3.12,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1.0,59.0,6.34,6.3,3.97,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1.0,58.0,6.37,6.43,3.93,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.42,55.0,4.81,4.87,3.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0.53,55.0,5.2,5.25,3.22,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
0.53,64.0,5.43,5.41,3.05,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0.56,60.0,5.35,5.32,3.22,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1.22,60.0,6.61,6.56,4.36,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0.27,56.0,4.19,4.16,2.59,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
0.41,56.0,4.79,4.81,2.96,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
0.7,55.0,5.66,5.69,3.55,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
0.8,57.0,5.91,5.87,3.7,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1.1,57.0,6.57,6.62,4.09,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.59,60.0,5.33,5.39,3.31,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0.35,60.0,4.57,4.59,2.76,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0.3,58.0,4.21,4.24,2.68,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0.3,59.0,4.35,4.38,2.58,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
0.91,62.0,6.01,6.06,3.87,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2.04,60.0,7.97,7.86,5.03,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0.3,56.0,4.32,4.34,2.67,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0.56,57.0,5.27,5.34,3.22,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0.32,55.3,4.36,4.37,2.72,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0.63,57.0,5.58,5.53,3.36,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
0.31,55.0,4.35,4.39,2.68,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0.25,57.0,4.02,4.06,2.5,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0.56,56.0,5.32,5.28,3.28,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1.01,60.0,6.46,6.4,3.86,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0.32,57.0,4.4,4.44,2.77,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1.02,58.0,6.44,6.36,4.01,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0.41,55.0,4.75,4.79,2.94,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1.07,56.0,6.6,6.66,4.08,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
1.0,59.0,6.36,6.39,3.96,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2.01,60.0,8.31,8.21,4.88,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2.26,57.0,8.45,8.4,5.15,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
0.34,54.0,4.49,4.46,2.77,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
0.9,58.0,6.18,6.09,3.82,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0.92,57.0,6.11,6.14,3.9,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0.9,57.0,6.02,5.9,3.99,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.39,56.0,4.75,4.7,2.9,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0.35,56.0,4.55,4.59,2.79,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.58,58.0,5.3,5.34,3.32,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1.0,53.0,6.29,6.34,4.06,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.6,58.0,5.38,5.41,3.32,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0.45,54.0,4.94,4.97,3.07,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
0.32,56.0,4.39,4.41,2.71,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2.0,57.0,7.97,8.08,4.99,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0.9,59.0,6.13,6.16,3.8,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.92,60.0,6.18,6.22,3.87,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1.02,57.0,6.38,6.44,4.04,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1.54,58.0,7.32,7.37,4.57,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1.53,56.0,7.39,7.31,4.61,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0.31,58.0,4.38,4.34,2.71,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0.28,54.0,4.2,4.23,2.63,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0.75,59.0,5.88,5.83,3.59,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.72,57.0,5.83,5.86,3.56,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1.29,62.0,7.06,6.99,4.17,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1.02,59.0,6.45,6.4,4.01,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1.0,56.0,6.5,6.54,3.95,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.02,60.0,6.41,6.39,4.0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
0.31,59.0,4.35,4.3,2.69,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0.4,56.0,4.74,4.71,2.95,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0.4,55.0,4.72,4.74,2.98,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0.71,58.0,5.8,5.72,3.52,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1.03,57.0,6.48,6.52,3.98,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1.2,61.0,6.89,6.84,4.12,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
1.06,63.0,6.62,6.59,3.93,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0.46,60.5,4.98,5.04,3.02,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2.15,58.0,8.22,8.17,5.15,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1.52,61.0,7.41,7.38,4.5,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0.33,58.0,4.48,4.53,2.69,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1.11,59.0,6.59,6.63,4.13,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
0.91,61.0,6.21,6.28,3.77,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
0.71,57.0,5.66,5.68,3.63,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1.21,57.0,6.73,6.67,4.29,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
0.56,56.0,5.29,5.32,3.27,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1.07,54.0,6.59,6.62,4.03,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0.7,59.0,5.75,5.73,3.52,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
1.17,65.0,6.81,6.77,4.1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1.07,55.0,6.54,6.61,4.08,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
0.51,62.0,5.09,5.04,3.14,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1.0,55.0,6.29,6.25,3.97,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0.78,56.0,5.89,5.96,3.62,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1.04,57.0,6.55,6.57,3.99,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0.7,57.0,5.72,5.67,3.54,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1.66,62.0,7.73,7.79,4.54,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
0.3,56.0,4.31,4.28,2.72,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0.9,60.0,6.2,6.24,3.79,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
0.61,56.0,5.4,5.44,3.42,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0.38,54.0,4.65,4.69,2.91,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0.41,60.0,4.84,4.87,2.87,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.27,57.0,4.3,4.33,2.53,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0.71,58.0,5.6,5.67,3.55,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
0.31,58.0,4.39,4.43,2.67,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2.31,58.0,8.7,8.64,5.1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
0.32,55.0,4.41,4.38,2.75,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0.3,54.4,4.28,4.32,2.68,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0.81,58.0,5.95,5.96,3.71,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
2.02,58.0,8.2,8.16,4.89,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0.59,58.0,5.46,5.5,3.24,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0.53,58.0,5.2,5.16,3.23,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0.7,56.0,5.63,5.73,3.51,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.5,54.0,5.12,5.16,3.15,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0.9,62.0,6.02,6.06,3.8,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0.9,54.0,6.15,6.18,3.86,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0.36,55.0,4.6,4.62,2.81,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
0.3,58.0,4.27,4.29,2.65,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1.51,61.0,7.29,7.22,4.52,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0.4,57.0,4.73,4.68,2.93,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0.53,56.7,5.18,5.21,3.2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
0.41,57.0,4.71,4.75,2.97,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,62.0,6.53,6.45,3.91,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0.91,59.0,6.17,6.2,3.84,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0.32,55.0,4.4,4.41,2.72,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0.82,60.0,5.89,5.84,3.74,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
0.72,56.0,5.74,5.77,3.57,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0.76,58.0,5.83,5.86,3.65,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0.76,61.0,5.92,5.96,3.55,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
0.41,60.0,4.76,4.7,2.93,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0.43,60.0,4.84,4.88,2.94,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0.32,57.0,4.4,4.37,2.72,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2.22,57.0,8.35,8.29,5.21,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1.01,56.0,6.35,6.4,4.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1.01,60.0,6.36,6.31,4.03,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0.44,58.0,4.88,4.85,3.03,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2.01,58.0,8.22,8.16,4.94,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
0.9,55.0,6.17,6.2,3.84,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1.08,59.0,6.44,6.53,4.08,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1.01,58.0,6.28,6.35,4.01,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1.12,57.0,6.66,6.6,4.04,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1.54,57.0,7.44,7.41,4.57,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0.53,56.0,5.16,5.13,3.28,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0.73,54.0,5.76,5.82,3.6,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
1.16,65.0,6.78,6.75,4.11,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1.51,60.0,7.43,7.36,4.49,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0.63,61.0,5.6,5.49,3.38,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1.16,63.0,6.63,6.55,4.2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0.31,56.0,4.38,4.41,2.69,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0.43,54.0,4.83,4.87,3.01,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1.52,59.0,7.43,7.52,4.51,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0.44,56.0,4.88,4.94,2.99,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1.51,57.0,7.27,7.23,4.56,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1.64,55.0,7.57,7.59,4.71,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
0.54,56.0,5.3,5.27,3.24,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.43,58.0,4.87,4.91,2.95,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2.01,62.0,8.2,8.15,4.85,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
0.34,57.0,4.66,4.61,2.74,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1.52,56.0,7.32,7.3,4.59,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0.7,59.0,5.65,5.67,3.54,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0.74,59.0,5.73,5.8,3.6,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.01,54.0,6.52,6.49,3.98,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1.11,55.0,6.65,6.67,4.11,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
